,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,boundary_diff,total_details,total_details_log,peri_d_log,fc_mc
0,4.0,0,1,48.0,1.0,1,-0.22456327796060868,barmaid,postHC,PMN,,0.7142857142857143,6.0,sub-000,offset,0.4421017747372389,10.0,2.302585092994046,1.791759469228055,-0.3726031074549293
2,3.5,0,3,51.0,1.0,3,0.002101261692806042,barmaid,postHC,PMN,,0.7142857142857143,5.0,sub-000,offset,0.4682800769805908,8.5,2.1400661634962708,1.6094379124341003,-0.14593856780151454
3,1.0,0,4,24.0,1.0,4,0.357570347389836,barmaid,postHC,PMN,,0.7142857142857143,4.5,sub-000,offset,-0.6769555360078812,5.5,1.7047480922384253,1.5040773967762742,0.2095305178955154
4,1.0,0,5,91.0,1.0,5,0.31730453793887564,barmaid,postHC,PMN,,0.7142857142857143,2.0,sub-000,offset,0.6478962749242783,3.0,1.0986122886681098,0.6931471805599453,0.16926470844455505
5,0.5,0,6,41.0,1.0,6,0.14237556411108118,barmaid,postHC,PMN,,0.7142857142857143,4.5,sub-000,offset,1.1881135068833828,5.0,1.6094379124341003,1.5040773967762742,-0.005664265383239414
6,1.0,0,7,98.0,1.0,7,0.19949860634173242,barmaid,postHC,PMN,,0.7142857142857143,2.0,sub-000,offset,-1.3842814415693283,3.0,1.0986122886681098,0.6931471805599453,0.05145877684741182
7,1.5,0,8,31.0,1.0,8,0.33424100772705695,barmaid,postHC,PMN,,0.7142857142857143,3.5,sub-000,offset,-1.5399112552404404,5.0,1.6094379124341003,1.252762968495368,0.18620117823273635
8,0.0,0,9,36.0,1.0,9,0.3198685529127533,barmaid,postHC,PMN,,0.7142857142857143,4.0,sub-000,offset,0.16831420361995697,4.0,1.3862943611198906,1.3862943611198906,0.1718287234184327
10,1.0,0,11,63.0,1.0,11,0.20292887003441118,barmaid,postHC,PMN,,0.7142857142857143,3.0,sub-000,offset,-1.1539671421051025,4.0,1.3862943611198906,1.0986122886681098,0.05488904054009058
13,5.5,0,14,111.0,1.0,14,0.15983413872750504,barmaid,postHC,PMN,,0.7142857142857143,6.5,sub-000,offset,-0.011040262877941132,12.0,2.4849066497880004,1.8718021769015913,0.011794309233184447
