,central_d,delay,event_label,event_length,event_recalled,events,fc,movie,net1_label,net2_label,path_length,percent_events,peri_d,subject,window,fc_mc,boundary_diff
0,4.0,0,1,48.0,1.0,1,-0.22456327796060868,barmaid,postHC,PMN,,0.7142857142857143,6.0,sub-000,offset,-0.34837691192219045,0.4421017747372389
1,0.0,0,2,32.0,0.0,2,0.06965351812177753,barmaid,postHC,PMN,,0.7142857142857143,0.0,sub-000,offset,-0.05416011583980421,0.050251541659235954
2,3.5,0,3,51.0,1.0,3,0.002101261692806042,barmaid,postHC,PMN,,0.7142857142857143,5.0,sub-000,offset,-0.1217123722687757,0.4682800769805908
3,1.0,0,4,24.0,1.0,4,0.357570347389836,barmaid,postHC,PMN,,0.7142857142857143,4.5,sub-000,offset,0.23375671342825427,-0.6769555360078812
4,1.0,0,5,91.0,1.0,5,0.31730453793887564,barmaid,postHC,PMN,,0.7142857142857143,2.0,sub-000,offset,0.1934909039772939,0.6478962749242783
5,0.5,0,6,41.0,1.0,6,0.14237556411108118,barmaid,postHC,PMN,,0.7142857142857143,4.5,sub-000,offset,0.018561930149499445,1.1881135068833828
6,1.0,0,7,98.0,1.0,7,0.19949860634173242,barmaid,postHC,PMN,,0.7142857142857143,2.0,sub-000,offset,0.07568497238015068,-1.3842814415693283
7,1.5,0,8,31.0,1.0,8,0.33424100772705695,barmaid,postHC,PMN,,0.7142857142857143,3.5,sub-000,offset,0.2104273737654752,-1.5399112552404404
8,0.0,0,9,36.0,1.0,9,0.3198685529127533,barmaid,postHC,PMN,,0.7142857142857143,4.0,sub-000,offset,0.19605491895117155,0.16831420361995697
9,0.0,0,10,55.0,0.0,10,-0.10088563305443093,barmaid,postHC,PMN,,0.7142857142857143,0.0,sub-000,offset,-0.22469926701601267,0.37149934843182564
10,1.0,0,11,63.0,1.0,11,0.20292887003441118,barmaid,postHC,PMN,,0.7142857142857143,3.0,sub-000,offset,0.07911523607282944,-1.1539671421051025
11,0.0,0,12,63.0,0.0,12,-0.20476816741828877,barmaid,postHC,PMN,,0.7142857142857143,0.0,sub-000,offset,-0.3285818013798705,0.6302019506692886
12,0.0,0,13,81.0,0.0,13,0.7557908738804734,barmaid,postHC,PMN,,0.7142857142857143,0.0,sub-000,offset,0.6319772399188917,0.4434741735458374
13,5.5,0,14,111.0,1.0,14,0.15983413872750504,barmaid,postHC,PMN,,0.7142857142857143,6.5,sub-000,offset,0.036020504765923306,-0.011040262877941132
14,3.5,0,1,48.0,1.0,1,-0.1737327717048743,barmaid,postHC,PMN,,1.0,32.0,sub-101,offset,-0.3290256500263187,-0.7568800449371338
15,0.5,0,2,32.0,1.0,2,0.13906774567015828,barmaid,postHC,PMN,,1.0,14.5,sub-101,offset,-0.016225132651286084,0.09053941071033478
16,4.0,0,3,51.0,1.0,3,0.08333642028806905,barmaid,postHC,PMN,,1.0,7.5,sub-101,offset,-0.07195645803337532,-0.20137269794940948
17,0.5,0,4,24.0,1.0,4,0.2745644685793123,barmaid,postHC,PMN,,1.0,6.0,sub-101,offset,0.11927159025786796,0.727389320731163
18,2.5,0,5,91.0,1.0,5,0.22165898623445804,barmaid,postHC,PMN,,1.0,1.0,sub-101,offset,0.06636610791301367,0.33612242341041565
19,2.0,0,6,41.0,1.0,6,0.31515403187912283,barmaid,postHC,PMN,,1.0,11.0,sub-101,offset,0.15986115355767846,0.10915026627480984
20,4.0,0,7,98.0,1.0,7,0.013477228888549462,barmaid,postHC,PMN,,1.0,14.5,sub-101,offset,-0.1418156494328949,0.624354362487793
21,0.0,0,8,31.0,1.0,8,0.0795230657657705,barmaid,postHC,PMN,,1.0,11.5,sub-101,offset,-0.07576981255567386,-1.2576504349708557
22,0.0,0,9,36.0,1.0,9,0.16416776731199506,barmaid,postHC,PMN,,1.0,7.0,sub-101,offset,0.008874888990550694,-0.31288618594408035
23,0.0,0,10,55.0,1.0,10,0.28971492689556,barmaid,postHC,PMN,,1.0,12.0,sub-101,offset,0.13442204857411563,0.39107498433440924
